pin_id,source_keyword,pin_type,title,save_count,reaction_count,reaction_save_ratio,created_at,date_unknown,image_url,local_image_path,outbound_link,domain,is_ecommerce,commercial_intent_score,make_similar_score,reject_reason,source_url,scraped_at,download_status,download_error
1149051292453508324,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/76/6a/19/766a19766d65c1822011ceddfb14eab3.jpg,,"https://www.amazon.com/happimess-BSK1003A-Bohemian-Hand-Woven-Decoration/dp/B0CM3YJXZ9?crid=31SK6GG6F46U7&dib=eyJ2IjoiMSJ9.X2zt7wE5-Z5UTZqRRziWW-_Zp3KwnDDvmT-5GLm1SVsQMnEUefJcuBuKSzo53Sxv6-61GxCZNlfhBfUgsxACLmdBFZQ9bEWgzr59ph4cvq2WH157BT0mgeU8gbyMKMOzdogDajSmGAGIHnzEpSgQ2HS-sbK5kwOqanQkQJUT1D4TLr-eeOagzldaE9_VokPL8fhAL2dEFj7Qalr94pULIXDDH3z1Hr46e_nEo45qCiCwnn7or01lDn_YylIsGkHO5NUNhNZFcavq3hUJEqREagzmkG8GBM3LTKMtdH9HXNs.xYJeUGjn-pmCcxuvQEw9pKFx1O9rjsdVpvjfZh-kGDs&dib_tag=se&keywords=boho%2Bstorage%2Bbasket%2Bround%2Bsmall&qid=1778358024&s=home-garden&sprefix=boho%2Bstorage%2Bbasket%2Bround%2Bsmall,garden,465&sr=1-4&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=88b434cc39cd33d7bcef32ef38781370&language=en_US&ref_=as_li_ss_tl",amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
14496030046639386,living room decor ideas,,Warm Minimalist Living Room Ideas with Cozy Lighting ✨,27,152,152.0,2026-05-08T19:17:16+00:00,False,https://i.pinimg.com/originals/88/b3/87/88b387c06aa6148cc134c127730c46c0.png,,,Uploaded by user,False,0,0,low_engagement_27,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
66287425762339867,living room decor ideas,,This Cozy Minimal Living Room Layout Is the Upgrade Your Home Needs in 2026,21,57,57.0,2026-05-07T01:41:36+00:00,False,https://i.pinimg.com/originals/66/d8/9c/66d89c63fb3d12eec1eaab16fa1afa83.png,,,Uploaded by user,False,0,0,low_engagement_21,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
70437491239603,living room decor ideas,,,916,778,778.0,2026-04-05T22:40:01+00:00,False,https://i.pinimg.com/originals/35/65/a7/3565a78799c4ab595b472719823c9622.jpg,,,Uploaded by user,False,0,0,low_engagement_916,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
2744449770005596,living room decor ideas,,,272,388,388.0,2026-04-04T07:25:34+00:00,False,https://i.pinimg.com/originals/8f/2c/dc/8f2cdcd345d6c72644f9a05f1b1e8e07.jpg,,,Uploaded by user,False,0,0,low_engagement_272,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
55802482885978933,living room decor ideas,,,179,50,50.0,2025-06-13T22:43:13+00:00,False,https://i.pinimg.com/originals/fe/c0/f2/fec0f21edc47ec0f7e56fad11f1e5ee4.jpg,,,Uploaded by user,False,0,0,"low_engagement_179,too_old",https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1970393584312746,living room decor ideas,,Elegant Modern Living Room with Statement Mirror,53,33,33.0,2026-04-07T05:47:30+00:00,False,https://i.pinimg.com/originals/97/41/ec/9741ec576d1289f1142bf57584fcfd4e.png,,,Uploaded by user,False,0,0,low_engagement_53,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
6122149488002325,living room decor ideas,,,12018,5104,5104.0,2025-04-21T16:30:41+00:00,False,https://i.pinimg.com/originals/0b/30/ab/0b30aba482d289418f887076b8ecae94.jpg,,,Uploaded by user,False,0,0,too_old,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
3166662233739000,living room decor ideas,,,23,67,67.0,2026-04-08T21:15:20+00:00,False,https://i.pinimg.com/originals/35/f4/6e/35f46ed446c6c6aa6abb4f2a47db7da6.jpg,,,Uploaded by user,False,0,0,low_engagement_23,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
35536284556669710,living room decor ideas,,Modern LED Wall Shelf Ideas | Aesthetic Home Decor Inspiration 💡,2,34,34.0,2026-05-09T09:48:28+00:00,False,https://i.pinimg.com/originals/3a/57/92/3a57921c4f4da584699ba2a247aa0dce.png,,,Uploaded by user,False,0,0,"low_engagement_2,no_product_link",https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
7951736837994055,living room decor ideas,,,941,584,584.0,2025-09-26T00:41:30+00:00,False,https://i.pinimg.com/originals/dc/49/a1/dc49a159ef8d5f1040ebe5a6ae523052.png,,,Uploaded by user,False,0,0,"low_engagement_941,too_old",https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
12807180189020932,living room decor ideas,,,313,39,39.0,2026-03-20T22:38:29+00:00,False,https://i.pinimg.com/originals/2a/ea/df/2aeadf3ae1bd5c3b5d6a70a4f07dc107.jpg,,,Uploaded by user,False,0,0,low_engagement_313,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
2814818512756756,living room decor ideas,,Warm Evening Living Room Glow,471,467,467.0,2026-01-01T19:39:57+00:00,False,https://i.pinimg.com/originals/03/0c/aa/030caac841ace87273ae2dc13a5a07c2.jpg,,,Uploaded by user,False,0,0,low_engagement_471,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
4855512095590055,living room decor ideas,,,2,17,17.0,2026-04-04T02:31:39+00:00,False,https://i.pinimg.com/originals/b7/f4/1b/b7f41baca61ce652a86db7a2a3356ddb.jpg,,,Uploaded by user,False,0,0,"low_engagement_2,no_product_link",https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
